cluster,length,occurences_pl,occurences_en,frequency_pl,frequency_en,total_frequency,relative_frequency
d͡zzd,3,3,0,0.000191,0.000000,0.000191,1.000000
d͡zzdr,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡zzg,3,2,0,0.000127,0.000000,0.000127,1.000000
d͡zzj,3,3,0,0.000191,0.000000,0.000191,1.000000
d͡zzm,3,6,0,0.000382,0.000000,0.000382,1.000000
d͡zzmw,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡zzn,3,5,0,0.000318,0.000000,0.000318,1.000000
d͡zzr,3,8,0,0.000509,0.000000,0.000509,1.000000
d͡zzv,3,7,0,0.000446,0.000000,0.000446,1.000000
d͡zzvɲ,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡zzw,3,5,0,0.000318,0.000000,0.000318,1.000000
d͡zzz,3,4,0,0.000255,0.000000,0.000255,1.000000
d͡zzɣ,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zzɣr,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡zzɲ,3,5,0,0.000318,0.000000,0.000318,1.000000
d͡zzʒ,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zð,2,0,30,0.000000,0.002120,0.002120,0.000000
d͡zɣ,2,15,0,0.000955,0.000000,0.000955,1.000000
d͡zɣr,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zɣʒ,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡zɲ,2,1,0,0.000064,0.000000,0.000064,1.000000
d͡zʃ,2,0,2,0.000000,0.000141,0.000141,0.000000
d͡zʒ,2,18,0,0.001146,0.000000,0.001146,1.000000
d͡zʒv,3,4,0,0.000255,0.000000,0.000255,1.000000
d͡zθ,2,0,2,0.000000,0.000141,0.000141,0.000000
d͡zθr,3,0,2,0.000000,0.000141,0.000141,0.000000
d͡ʒb,2,218,28,0.013879,0.001979,0.015858,0.875217
d͡ʒbj,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒbl,3,4,2,0.000255,0.000141,0.000396,0.643080
d͡ʒbr,3,5,3,0.000318,0.000212,0.000530,0.600232
d͡ʒbv,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒbw,3,2,0,0.000127,0.000000,0.000127,1.000000
d͡ʒbɣ,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒbɣj,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒbʒ,3,3,0,0.000191,0.000000,0.000191,1.000000
d͡ʒbʒm,4,3,0,0.000191,0.000000,0.000191,1.000000
d͡ʒd,2,271,72,0.017253,0.005088,0.022342,0.772250
d͡ʒdb,3,0,3,0.000000,0.000212,0.000212,0.000000
d͡ʒdd,3,0,1,0.000000,0.000071,0.000071,0.000000
d͡ʒdf,3,0,1,0.000000,0.000071,0.000071,0.000000
d͡ʒdj,3,0,2,0.000000,0.000141,0.000141,0.000000
d͡ʒdk,3,0,1,0.000000,0.000071,0.000071,0.000000
d͡ʒdkl,4,0,1,0.000000,0.000071,0.000071,0.000000
d͡ʒdl,3,18,0,0.001146,0.000000,0.001146,1.000000
d͡ʒdm,3,0,5,0.000000,0.000353,0.000353,0.000000
d͡ʒdr,3,14,2,0.000891,0.000141,0.001033,0.863128
d͡ʒdrʒ,4,3,0,0.000191,0.000000,0.000191,1.000000
d͡ʒds,3,0,2,0.000000,0.000141,0.000141,0.000000
d͡ʒdst,4,0,1,0.000000,0.000071,0.000071,0.000000
d͡ʒdstr,5,0,1,0.000000,0.000071,0.000071,0.000000
d͡ʒdt,3,0,8,0.000000,0.000565,0.000565,0.000000
d͡ʒdv,3,7,1,0.000446,0.000071,0.000516,0.863128
d͡ʒdw,3,10,5,0.000637,0.000353,0.000990,0.643080
d͡ʒdð,3,0,6,0.000000,0.000424,0.000424,0.000000
d͡ʒdɲ,3,2,0,0.000127,0.000000,0.000127,1.000000
d͡ʒdʒ,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒdʒv,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒd͡ʒ,2,47,2,0.002992,0.000141,0.003134,0.954895
d͡ʒd͡ʒv,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒf,2,0,29,0.000000,0.002049,0.002049,0.000000
d͡ʒfr,3,0,8,0.000000,0.000565,0.000565,0.000000
d͡ʒg,2,70,5,0.004457,0.000353,0.004810,0.926537
d͡ʒgd,3,2,0,0.000127,0.000000,0.000127,1.000000
d͡ʒgd͡ʒ,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒgl,3,2,0,0.000127,0.000000,0.000127,1.000000
d͡ʒgr,3,4,3,0.000255,0.000212,0.000467,0.545695
d͡ʒgv,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒgw,3,13,0,0.000828,0.000000,0.000828,1.000000
d͡ʒgʒ,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒh,2,0,14,0.000000,0.000989,0.000989,0.000000
d͡ʒj,2,5,7,0.000318,0.000495,0.000813,0.391535
d͡ʒk,2,7,22,0.000446,0.001555,0.002000,0.222783
d͡ʒkl,3,0,5,0.000000,0.000353,0.000353,0.000000
d͡ʒkr,3,0,4,0.000000,0.000283,0.000283,0.000000
d͡ʒkw,3,0,2,0.000000,0.000141,0.000141,0.000000
d͡ʒl,2,1,14,0.000064,0.000989,0.001053,0.060458
d͡ʒm,2,29,17,0.001846,0.001201,0.003048,0.605800
d͡ʒmj,3,0,1,0.000000,0.000071,0.000071,0.000000
d͡ʒmɲ,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒn,2,6,2,0.000382,0.000141,0.000523,0.729921
d͡ʒp,2,0,17,0.000000,0.001201,0.001201,0.000000
d͡ʒpl,3,0,2,0.000000,0.000141,0.000141,0.000000
d͡ʒpr,3,0,6,0.000000,0.000424,0.000424,0.000000
d͡ʒr,2,1,12,0.000064,0.000848,0.000912,0.069830
d͡ʒs,2,0,23,0.000000,0.001625,0.001625,0.000000
d͡ʒsk,3,0,1,0.000000,0.000071,0.000071,0.000000
d͡ʒsl,3,0,1,0.000000,0.000071,0.000071,0.000000
d͡ʒsn,3,0,1,0.000000,0.000071,0.000071,0.000000
d͡ʒsp,3,0,5,0.000000,0.000353,0.000353,0.000000
d͡ʒst,3,0,5,0.000000,0.000353,0.000353,0.000000
d͡ʒstr,4,0,1,0.000000,0.000071,0.000071,0.000000
d͡ʒsw,3,0,1,0.000000,0.000071,0.000071,0.000000
d͡ʒt,2,0,28,0.000000,0.001979,0.001979,0.000000
d͡ʒtj,3,0,1,0.000000,0.000071,0.000071,0.000000
d͡ʒtr,3,0,2,0.000000,0.000141,0.000141,0.000000
d͡ʒtw,3,0,1,0.000000,0.000071,0.000071,0.000000
d͡ʒt͡ʃ,2,0,2,0.000000,0.000141,0.000141,0.000000
d͡ʒv,2,389,2,0.024766,0.000141,0.024907,0.994325
d͡ʒvb,3,9,0,0.000573,0.000000,0.000573,1.000000
d͡ʒvbr,4,2,0,0.000127,0.000000,0.000127,1.000000
d͡ʒvbɣ,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒvd,3,9,0,0.000573,0.000000,0.000573,1.000000
d͡ʒvdr,4,2,0,0.000127,0.000000,0.000127,1.000000
d͡ʒvdw,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒvdɲ,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒvd͡ʒ,3,3,0,0.000191,0.000000,0.000191,1.000000
d͡ʒvg,3,3,0,0.000191,0.000000,0.000191,1.000000
d͡ʒvgw,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒvj,3,5,0,0.000318,0.000000,0.000318,1.000000
d͡ʒvl,3,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒvm,3,7,0,0.000446,0.000000,0.000446,1.000000
d͡ʒvmw,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒvn,3,6,0,0.000382,0.000000,0.000382,1.000000
d͡ʒvr,3,16,0,0.001019,0.000000,0.001019,1.000000
d͡ʒvv,3,5,0,0.000318,0.000000,0.000318,1.000000
d͡ʒvw,3,21,0,0.001337,0.000000,0.001337,1.000000
d͡ʒvz,3,16,0,0.001019,0.000000,0.001019,1.000000
d͡ʒvzb,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒvzg,4,2,0,0.000127,0.000000,0.000127,1.000000
d͡ʒvzgw,5,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒvzl,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒvzm,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒvzr,4,6,0,0.000382,0.000000,0.000382,1.000000
d͡ʒvzw,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒvzɣ,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒvɣ,3,2,0,0.000127,0.000000,0.000127,1.000000
d͡ʒvɣv,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒvɲ,3,9,0,0.000573,0.000000,0.000573,1.000000
d͡ʒvʒ,3,6,0,0.000382,0.000000,0.000382,1.000000
d͡ʒvʒv,4,2,0,0.000127,0.000000,0.000127,1.000000
d͡ʒw,2,0,26,0.000000,0.001837,0.001837,0.000000
d͡ʒz,2,283,0,0.018017,0.000000,0.018017,1.000000
d͡ʒzb,3,7,0,0.000446,0.000000,0.000446,1.000000
d͡ʒzd,3,16,0,0.001019,0.000000,0.001019,1.000000
d͡ʒzdj,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒzdr,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒzdw,4,1,0,0.000064,0.000000,0.000064,1.000000
d͡ʒzd͡ʒ,3,4,0,0.000255,0.000000,0.000255,1.000000
d͡ʒzg,3,5,0,0.000318,0.000000,0.000318,1.000000
d͡ʒzj,3,5,0,0.000318,0.000000,0.000318,1.000000
d͡ʒzl,3,2,0,0.000127,0.000000,0.000127,1.000000
